IRIS CLASSIFICATION RESULT
Format: Index, ExpectedClass, OutputClass, Probability

1 ,Iris-setosa , Iris-setosa, 0.21.000000
2 ,Iris-setosa , Iris-setosa, 0.21.000000
3 ,Iris-setosa , Iris-setosa, 0.21.000000
4 ,Iris-setosa , Iris-setosa, 0.21.000000
5 ,Iris-setosa , Iris-setosa, 0.21.000000
6 ,Iris-setosa , Iris-setosa, 0.21.000000
7 ,Iris-setosa , Iris-setosa, 0.21.000000
8 ,Iris-setosa , Iris-setosa, 0.21.000000
9 ,Iris-setosa , Iris-setosa, 0.21.000000
10 ,Iris-setosa , Iris-setosa, 0.21.000000
11 ,Iris-setosa , Iris-setosa, 0.21.000000
12 ,Iris-setosa , Iris-setosa, 0.21.000000
13 ,Iris-setosa , Iris-setosa, 0.21.000000
14 ,Iris-setosa , Iris-setosa, 0.21.000000
15 ,Iris-setosa , Iris-setosa, 0.21.000000
16 ,Iris-setosa , Iris-setosa, 0.21.000000
17 ,Iris-setosa , Iris-setosa, 0.21.000000
18 ,Iris-setosa , Iris-setosa, 0.21.000000
19 ,Iris-setosa , Iris-setosa, 0.21.000000
20 ,Iris-setosa , Iris-setosa, 0.21.000000
21 ,Iris-setosa , Iris-setosa, 0.21.000000
22 ,Iris-setosa , Iris-setosa, 0.21.000000
23 ,Iris-setosa , Iris-setosa, 0.21.000000
24 ,Iris-setosa , Iris-setosa, 0.21.000000
25 ,Iris-setosa , Iris-setosa, 0.21.000000
26 ,Iris-versicolor , Iris-versicolor, 0.20.999718
27 ,Iris-versicolor , Iris-versicolor, 0.20.999762
28 ,Iris-versicolor , Iris-versicolor, 0.20.994612
29 ,Iris-versicolor , Iris-versicolor, 0.20.997486
30 ,Iris-versicolor , Iris-versicolor, 0.20.995657
31 ,Iris-versicolor , Iris-versicolor, 0.20.989726
32 ,Iris-versicolor , Iris-versicolor, 0.20.995910
33 ,Iris-versicolor , Iris-versicolor, 0.21.000000
34 ,Iris-versicolor , Iris-versicolor, 0.20.999151
35 ,Iris-versicolor , Iris-versicolor, 0.20.996509
36 ,Iris-versicolor , Iris-versicolor, 0.20.999990
37 ,Iris-versicolor , Iris-versicolor, 0.20.999224
38 ,Iris-versicolor , Iris-versicolor, 0.20.999978
39 ,Iris-versicolor , Iris-versicolor, 0.20.986906
40 ,Iris-versicolor , Iris-versicolor, 0.21.000000
41 ,Iris-versicolor , Iris-versicolor, 0.20.999985
42 ,Iris-versicolor , Iris-versicolor, 0.20.985100
43 ,Iris-versicolor , Iris-versicolor, 0.20.999334
44 ,Iris-versicolor , Iris-virginica, 0.20.679269, Failed
45 ,Iris-versicolor , Iris-versicolor, 0.20.999990
46 ,Iris-versicolor , Iris-virginica, 0.20.905383, Failed
47 ,Iris-versicolor , Iris-versicolor, 0.20.999997
48 ,Iris-versicolor , Iris-versicolor, 0.20.620718
49 ,Iris-versicolor , Iris-versicolor, 0.20.738128
50 ,Iris-versicolor , Iris-versicolor, 0.20.999982
51 ,Iris-virginica , Iris-virginica, 0.21.000000
52 ,Iris-virginica , Iris-virginica, 0.20.999994
53 ,Iris-virginica , Iris-virginica, 0.20.999988
54 ,Iris-virginica , Iris-virginica, 0.20.987281
55 ,Iris-virginica , Iris-virginica, 0.21.000000
56 ,Iris-virginica , Iris-virginica, 0.20.999919
57 ,Iris-virginica , Iris-virginica, 0.20.999978
58 ,Iris-virginica , Iris-virginica, 0.20.999676
59 ,Iris-virginica , Iris-virginica, 0.20.999482
60 ,Iris-virginica , Iris-virginica, 0.21.000000
61 ,Iris-virginica , Iris-virginica, 0.20.999931
62 ,Iris-virginica , Iris-virginica, 0.20.999948
63 ,Iris-virginica , Iris-virginica, 0.21.000000
64 ,Iris-virginica , Iris-virginica, 0.21.000000
65 ,Iris-virginica , Iris-virginica, 0.21.000000
66 ,Iris-virginica , Iris-virginica, 0.21.000000
67 ,Iris-virginica , Iris-virginica, 0.20.957987
68 ,Iris-virginica , Iris-virginica, 0.20.997252
69 ,Iris-virginica , Iris-virginica, 0.21.000000
70 ,Iris-virginica , Iris-virginica, 0.20.965948
71 ,Iris-virginica , Iris-virginica, 0.21.000000
72 ,Iris-virginica , Iris-virginica, 0.21.000000
73 ,Iris-virginica , Iris-virginica, 0.20.999964
74 ,Iris-virginica , Iris-virginica, 0.20.999189
75 ,Iris-virginica , Iris-virginica, 0.20.999857
